Latitude,longitude,yearly_income
37.742552227141296,-122.47917225407518,1176000
37.78658903651058,-122.41355854695246,552594
37.75747195813836,-122.4146763212228,205275
37.755262578068034,-122.42496642217907,152880
37.79021557905879,-122.41632328481009,123732
37.79539046664848,-122.4154118675408,121426.20000000003
37.77795467989203,-122.41669228176828,117306
37.777108217502615,-122.44295145304217,114030
37.777177744942435,-122.40921206031324,112694.4
37.76917609714161,-122.44458585671572,107396.51999999999
37.742560559062426,-122.43405724816587,106312.5
37.79666112794982,-122.43222091264532,105160.43999999999
37.77280583526456,-122.40449925736056,104161.26
37.78118058025808,-122.4663334077015,103320
37.76772733577398,-122.4461820053316,100737
37.79517333339643,-122.42783984870096,98700
37.753493840593535,-122.41958551663694,98280
37.79456873502613,-122.41348972424713,98175
37.76193720090526,-122.48075136341885,94500
37.757234102709155,-122.41503854074548,92547
37.803565124237934,-122.41337813028179,92055.6
37.7844279929822,-122.44355470165002,92005.61999999998
37.77689987188117,-122.40990703321192,90342
37.77520285541314,-122.4275269159175,88672.5
37.77392549927463,-122.47687334038372,87814.02000000002
37.79689540873685,-122.42897233696152,86877
37.75504534002461,-122.400831550458,86798.88
37.782927336870216,-122.39040230903403,85890
37.73212362718697,-122.44206947976294,84357
37.755873031353076,-122.40905707897586,84139.44
37.76568399569242,-122.40649626092232,84010.50000000001
37.73536954870182,-122.44377991796719,83363.70000000001
37.782490107976216,-122.4590820251918,82964.28
37.76281081992251,-122.4345712564538,82731.6
37.78810562399765,-122.4153728930772,81530.4
37.80389517043279,-122.43974363068415,81375
37.77981221254694,-122.41022307517076,81232.20000000001
37.796186784266524,-122.43893313826722,81143.99999999999
37.773682005836505,-122.41847969042871,79800
37.74762441356345,-122.4750992067926,75411
37.799700740645044,-122.4366850314055,75146.4
37.79941384472872,-122.43686955122101,74928
37.786891149569605,-122.43889137051586,73920.00000000001
37.764874220246675,-122.39762672259356,71651.99999999999
37.789514360646905,-122.39305614217906,71568
37.780497030653144,-122.38965446531228,71411.34
37.8054296719725,-122.42100369358265,71189.99999999999
37.780743162660144,-122.40337123715,71064
37.77125081152442,-122.40212523384548,70670.88
37.781130352994964,-122.40812393403021,70024.5
37.771777722550944,-122.44541021743281,69812.81999999999
37.739056007150545,-122.3853723352194,69804
37.806614378313995,-122.43556987405569,69621.3
37.773965197206415,-122.42783349535931,69510
37.75993537478796,-122.42137724568278,69371.4
37.76445351757662,-122.43962372586356,69090
37.771908526768996,-122.42160227056331,68928.3
37.77695188734626,-122.4787119375957,68819.52000000002
37.7247731974258,-122.41987805880535,68817.84000000001
37.77862913067089,-122.40556231933986,68796
37.77902558592721,-122.46585422151706,68512.5
37.776287078200056,-122.4155818177428,68365.5
37.777218963319726,-122.43655591888201,67977.00000000001
37.78490188951679,-122.3954285446712,67813.20000000001
37.786491146405865,-122.39245036932144,67558.68
37.76165842645169,-122.42943461110913,67485.6
37.763796268707225,-122.42614302470035,66722.04000000001
37.757523965077475,-122.41468373143316,66654
37.77084767118647,-122.44811347552229,65616.6
37.756866555212895,-122.41624018731962,65116.8
37.738812766108005,-122.4126518754928,65016
37.756880398607066,-122.46784596960407,64795.5
37.807228356602295,-122.43777864537736,64587.60000000001
37.78581543095693,-122.39164433048245,64581.3
37.74395768067985,-122.40918947974122,64316.700000000004
37.771767016534966,-122.50887055577566,63718.200000000004
37.77842834188155,-122.39423656635904,63630
37.78659319594401,-122.44222367602268,63178.5
37.77075139491698,-122.39426942156496,62790
37.75818502671696,-122.40081659874052,62370

