y,avg_review
Bayview,9.148936170212766
Bernal Heights,9.505524861878452
Castro/Upper Market,9.493702770780857
Chinatown,9.16161616161616
Crocker Amazon,9.08695652173913
Diamond Heights,9.705882352941176
Downtown/Civic Center,9.02724795640327
Excelsior,9.255813953488373
Financial District,9.313131313131313
Glen Park,9.695652173913043
Golden Gate Park,8.875
Haight Ashbury,9.30379746835443
Inner Richmond,9.36697247706422
Inner Sunset,9.491935483870968
Lakeshore,9.147058823529411
Marina,9.417021276595746
Mission,9.377538829151732
Nob Hill,9.278481012658228
Noe Valley,9.45398773006135
North Beach,9.31159420289855
Ocean View,9.252747252747254
Outer Mission,9.46043165467626
Outer Richmond,9.412162162162161
Outer Sunset,9.431279620853081
Pacific Heights,9.384146341463415
Parkside,9.364583333333334
Potrero Hill,9.477477477477477
Presidio,9.666666666666666
Presidio Heights,9.580645161290322
Russian Hill,9.305732484076433
Seacliff,9.38888888888889
South of Market,9.3096926713948
Treasure Island/YBI,9.625
Twin Peaks,9.666666666666666
Visitacion Valley,9.4375
West of Twin Peaks,9.606382978723405
Western Addition,9.42733564013841
